epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,89.7624,0.3194,0.82301,0.71186,0.97462,0.41667,0.98357,0.81012,0.77076,1.81354,0.84517,0.000277673,0.000277673,0.0372777
65,91.0883,0.3194,0.82301,0.71186,0.97462,0.41667,0.98357,0.81012,0.77076,1.81354,0.84517,0.00026624,0.00026624,0.0362662
66,92.4161,0.3194,0.82301,0.71186,0.97462,0.41667,0.98357,0.81012,0.77076,1.81354,0.84517,0.000254313,0.000254313,0.0352543
67,93.7592,0.3194,0.82301,0.71186,0.97462,0.41667,0.98357,0.81012,0.77076,1.81354,0.84517,0.00024189,0.00024189,0.0342419
68,95.1565,0.3194,0.82301,0.71186,0.97462,0.41667,0.98357,0.81012,0.77076,1.81354,0.84517,0.000228972,0.000228972,0.033229
69,96.4495,0.3194,0.82301,0.71186,0.97462,0.41667,0.98357,0.81012,0.77076,1.81354,0.84517,0.00021556,0.00021556,0.0322156
70,97.7544,0.3194,0.82301,0.71186,0.97462,0.41667,0.98357,0.81012,0.77076,1.81354,0.84517,0.000201652,0.000201652,0.0312017
71,99.0826,0.3194,0.82301,0.71186,0.97462,0.41667,0.98357,0.81012,0.77076,1.81354,0.84517,0.00018725,0.00018725,0.0301872
72,100.509,0.3194,0.82301,0.71186,0.97462,0.41667,0.98357,0.81012,0.77076,1.81354,0.84517,0.000172353,0.000172353,0.0291724
73,102.023,0.3194,0.82301,0.71186,0.97462,0.41667,0.98357,0.81012,0.77076,1.81354,0.84517,0.00015696,0.00015696,0.028157
74,103.599,0.3194,0.82301,0.71186,0.97462,0.41667,0.98357,0.81012,0.77076,1.81354,0.84517,0.000141073,0.000141073,0.0271411
75,105.04,0.3194,0.82301,0.71186,0.97462,0.41667,0.98357,0.81012,0.77076,1.81354,0.84517,0.00012469,0.00012469,0.0261247
76,106.445,0.3194,0.82301,0.71186,0.97462,0.41667,0.98357,0.81012,0.77076,1.81354,0.84517,0.000107812,0.000107812,0.0251078
77,107.877,0.3194,0.82301,0.71186,0.97462,0.41667,0.98357,0.81012,0.77076,1.81354,0.84517,9.044e-05,9.044e-05,0.0240904
78,109.351,0.3194,0.82301,0.71186,0.97462,0.41667,0.98357,0.81012,0.77076,1.81354,0.84517,7.25725e-05,7.25725e-05,0.0230726
79,110.794,0.3194,0.82301,0.71186,0.68066,0.86692,0.98357,0.82957,0.68708,1.42553,0.82667,5.421e-05,5.421e-05,0.0220542
80,112.122,0.27787,0.77315,0.70436,0.68066,0.86692,0.98357,0.82957,0.68708,1.42553,0.82667,3.53525e-05,3.53525e-05,0.0210354
