epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,399.718,0.39242,0.44039,0.915,0.43961,0.4466,0.54046,0.50053,0.26357,0.47659,0.80223,0.000693305,0.000693305,0.000693305
61,404.974,0.39386,0.4537,0.91395,0.63937,0.69085,0.57775,0.4878,0.27172,0.52986,0.79782,0.000676802,0.000676802,0.000676802
62,410.239,0.38317,0.44007,0.91011,0.67796,0.67638,0.58476,0.4736,0.27238,0.52946,0.80188,0.000660299,0.000660299,0.000660299
63,415.715,0.38321,0.42822,0.89918,0.66087,0.70092,0.57289,0.4659,0.27056,0.53635,0.80203,0.000643795,0.000643795,0.000643795
64,421.048,0.39432,0.45315,0.91647,0.62797,0.70063,0.57887,0.48197,0.28556,0.53122,0.80216,0.000627292,0.000627292,0.000627292
65,426.417,0.35617,0.40287,0.90034,0.60908,0.68869,0.58325,0.54176,0.26545,0.48068,0.80724,0.000610789,0.000610789,0.000610789
66,431.862,0.36439,0.40381,0.89982,0.66464,0.67765,0.58111,0.50296,0.28173,0.56547,0.80394,0.000594286,0.000594286,0.000594286
67,437.281,0.36411,0.40529,0.90543,0.64568,0.69447,0.59019,0.50073,0.25568,0.47161,0.79233,0.000577782,0.000577782,0.000577782
68,442.52,0.36401,0.42387,0.89603,0.65462,0.70092,0.58339,0.47929,0.2624,0.51495,0.79172,0.000561279,0.000561279,0.000561279
69,447.991,0.35395,0.40477,0.8869,0.61591,0.68024,0.58114,0.4885,0.2586,0.52936,0.79339,0.000544776,0.000544776,0.000544776
70,453.256,0.35396,0.41207,0.89402,0.5965,0.69154,0.57623,0.52444,0.25599,0.55086,0.79523,0.000528272,0.000528272,0.000528272
71,458.657,0.35799,0.40263,0.89817,0.55739,0.66808,0.58409,0.51014,0.24204,0.4891,0.78882,0.000511769,0.000511769,0.000511769
72,464.039,0.34675,0.39679,0.88734,0.39726,0.45706,0.52072,0.47228,0.26684,0.5513,0.78866,0.000495266,0.000495266,0.000495266
73,469.374,0.38001,0.39957,0.90717,0.40614,0.43802,0.53236,0.47986,0.25026,0.6475,0.79549,0.000478762,0.000478762,0.000478762
74,474.772,0.35108,0.39099,0.90212,0.62228,0.7027,0.5751,0.51652,0.24106,0.52266,0.79715,0.000462259,0.000462259,0.000462259
75,480.27,0.3269,0.38342,0.89228,0.63449,0.68623,0.57455,0.47274,0.26775,0.57198,0.8175,0.000445756,0.000445756,0.000445756
76,485.735,0.34505,0.38589,0.88953,0.63185,0.68701,0.5729,0.49689,0.26246,0.57028,0.80666,0.000429253,0.000429253,0.000429253
77,491.099,0.35837,0.41088,0.90982,0.65561,0.68304,0.57386,0.5114,0.25565,0.60629,0.79743,0.000412749,0.000412749,0.000412749
78,496.558,0.339,0.37122,0.88589,0.65867,0.67815,0.56041,0.49549,0.26054,0.68974,0.79977,0.000396246,0.000396246,0.000396246
79,501.979,0.32178,0.3754,0.88574,0.6408,0.68601,0.57551,0.51401,0.24056,0.56795,0.79139,0.000379743,0.000379743,0.000379743
80,507.469,0.33553,0.37849,0.88125,0.82456,0.67205,0.70131,0.47421,0.24853,0.55922,0.79161,0.000363239,0.000363239,0.000363239
81,512.875,0.33691,0.37871,0.89208,0.67522,0.65184,0.57412,0.47271,0.24186,0.59793,0.79082,0.000346736,0.000346736,0.000346736
82,518.249,0.33205,0.36256,0.88969,0.40784,0.46626,0.51279,0.4617,0.24539,0.57928,0.79653,0.000330233,0.000330233,0.000330233
83,523.628,0.33285,0.35368,0.89692,0.55884,0.68308,0.53558,0.4746,0.24501,0.53738,0.79096,0.000313729,0.000313729,0.000313729
84,529.009,0.32607,0.35956,0.88213,0.68242,0.67554,0.57349,0.47449,0.2407,0.54164,0.79689,0.000297226,0.000297226,0.000297226
85,534.368,0.33013,0.35751,0.88789,0.67488,0.67025,0.57323,0.47379,0.25194,0.60041,0.79909,0.000280723,0.000280723,0.000280723
86,539.756,0.33632,0.35001,0.89326,0.67191,0.67206,0.59662,0.48923,0.24172,0.56235,0.79305,0.00026422,0.00026422,0.00026422
87,545.281,0.34643,0.36594,0.90205,0.67076,0.6694,0.59211,0.47965,0.23913,0.57043,0.78907,0.000247716,0.000247716,0.000247716
88,550.676,0.31086,0.34808,0.88199,0.66641,0.69673,0.57209,0.47171,0.24671,0.53113,0.79581,0.000231213,0.000231213,0.000231213
89,556.14,0.32625,0.35634,0.90184,0.66934,0.69479,0.57499,0.47561,0.25078,0.52725,0.79816,0.00021471,0.00021471,0.00021471
90,561.678,0.31057,0.33161,0.88169,0.6768,0.67969,0.57262,0.47274,0.24061,0.53122,0.79689,0.000198206,0.000198206,0.000198206
91,566.852,0.21369,0.28263,0.82062,0.68882,0.66303,0.56835,0.47175,0.24313,0.55935,0.78941,0.000181703,0.000181703,0.000181703
92,571.907,0.22024,0.26086,0.81765,0.67801,0.66718,0.56976,0.49434,0.2313,0.53652,0.78723,0.0001652,0.0001652,0.0001652
93,576.987,0.19817,0.25706,0.80409,0.67301,0.68777,0.57227,0.48942,0.22911,0.51593,0.78572,0.000148696,0.000148696,0.000148696
94,582.084,0.21066,0.26147,0.81784,0.67316,0.69172,0.56874,0.49431,0.23028,0.52355,0.7865,0.000132193,0.000132193,0.000132193
95,587.012,0.19534,0.23704,0.81216,0.67915,0.67331,0.57136,0.50838,0.22813,0.56933,0.7906,0.00011569,0.00011569,0.00011569
